Name	Set	Imagefile	Type	Class	Race	Skills	HomeSite	Mind	Influence	GI	Prowess	Body	Strikes	Playable	MP	SP	Magic	Specific	Corruption	Region	SitePath	Draw	OpponentDraw	Rarity	Text
Not Slay Needlessly	LidlessEye	NotSlayNeedlessly	Minion Resource	Short-event																				U	Playable on an attack by Elves, Dwarves, Dunedain, or Men. Against a covert company, the attack is canceled. Otherwise, -2 to the attack's prowess. Cannot be duplicated on a given attack.
Nurniags *	LidlessEye	Nurniags2	Minion Resource	Man Faction											2									U	Unique. Playable at Nurniag Camp if the influence check is greater than 9. Standard Modifications: Nuriags (+2), Balchoth (-2), Variags of Khand (+2).
Old Cache	LidlessEye	OldCache	Minion Resource	Short-event																				CB+CS1	Playable on a company at a tapped Dark-hold [{D}], Shadow-hold [{S}], or Ruins & Lairs [{R}]. During the site phase, one or two characters in that company may each tap to take control of a non-unique, non-hoard minor item of the following type: weapo
Old Prejudice	LidlessEye	OldPrejudice	Minion Resource	Long-event																				R	Triple all standard modifications for influence checks against factions.
One Dear to You	LidlessEye	OneDeartoYou	Minion Resource	Permanent-event																				R	Playable on a faction you have in play. -1 faction marshalling points. Any influence attempt against the faction is modified by -8 and Muster may not be used against the faction.
Orc Quarrels	LidlessEye	OrcQuarrels	Minion Resource	Short-event																				CB+CS1	Playable on an Orc, Troll, or Man attack. The attack is canceled. Alternatively, playable on any attack if Skies of Fire is in play. The number of strikes from the attack is reduced to half of its original number (rounded up).
Orc Stealth	LidlessEye	OrcStealth	Minion Resource	Short-event																				U	Orc scout only. Cancel one strike against an Orc scout.
Orc-draughts	LidlessEye	Orcdraughts	Minion Resource	Minor Item															1					CB+CS1	Food. Discard to give +1 prowess to all characters in bearer's company until the end of the turn.
Orc-liquor	LidlessEye	Orcliquor	Minion Resource	Minor Item															1					CB+CS1	Food. Discard to give +2 body (to a maximum of 10) to all characters in bearer's company until the end of the turn.
Orc-mounts	LidlessEye	Orcmounts	Minion Resource	Short-event																				R	Playable during the organization phase on a moving overt company. The hazard limit against the company increases by two and the prowess of any hazard creatures played against it this turn is modified by -1. Cannot be duplicated on a given company.
Orcs of Angmar	LidlessEye	OrcsofAngmar	Minion Resource	Orc Faction											2									U	Unique. Playable at Mount Gram if the influence check is greater than 8. Once in play, the number required to influence this faction is zero. Standard Modifications: Morgul-orcs (+2), Orcs of Gundabad (-2).
Orcs of Gorgoroth	LidlessEye	OrcsofGorgoroth	Minion Resource	Orc Faction											1									U	Unique. Playable at Barad-dur if the influence check is greater than 8. Once in play, the number required to influence this faction is zero. If this influence attempt is made by an Orc or Troll leader, you may place this faction under the control of 
Orcs of Gundabad	LidlessEye	OrcsofGundabad	Minion Resource	Orc Faction											3									F1	Unique. Playable at Mount Gundabad if the influence check is greater than 9. Once in play, the number required to influence this faction is zero. Standard Modifications: Grey Mountain Goblins (+2), Orcs of Angmar (-2).
Orcs of Mirkwood	LidlessEye	OrcsofMirkwood	Minion Resource	Orc Faction											2									F1	Unique. Playable at Sarn Goriwing if the influence check is greater than 8. Once in play, the number required to influence this faction is zero. Standard Modifications: Orcs of Red Eye (-2), Orcs of Gorgoroth (+2).
Orcs of Moria	LidlessEye	OrcsofMoria	Minion Resource	Orc Faction											3									F1	Unique. Playable at Moria if the influence check is greater than 10. Once in play, the number required to influence this faction is zero. Standard Modifications: Goblins of Goblin-gate (+2), Orcs of Dol Guldur (-2).
Orcs of the Ash Mountains	LidlessEye	OrcsoftheAshMountains	Minion Resource	Orc Faction											1									U	Unique. Playable at Cirith Gorgor if the influence check is greater than 8. Once in play, the number required to influence this faction is zero. If this influence attempt is made by an Orc or Troll leader, you may place this faction under the control
Orcs of the Ephel Duath	LidlessEye	OrcsoftheEphelDuath	Minion Resource	Orc Faction											1									U	Unique. Playable at Cirith Ungol if the influence check is greater than 8. Once in play, the number required to influence this faction is zero. If this influence attempt is made by an Orc or Troll leader, you may place this faction under the control 
Orcs of the Red Eye	LidlessEye	OrcsoftheRedEye	Minion Resource	Orc Faction											1									U	Unique. Playable at Barad-dur if the influence check is greater than 8. Once in play, the number required to influence this faction is zero. If this influence attempt is made by an Orc or Troll leader, you may place this faction under the control of 
Orcs of Udun	LidlessEye	OrcsofUdun	Minion Resource	Orc Faction											1									U	Unique. Playable at Cirith Gorgor if the influence check is greater than 8. Once in play, the number required to influence this faction is zero. If this influence attempt is made by an Orc or Troll leader, you may place this faction under the control
Palantir of Amon Sul *	LidlessEye	PalantirofAmonSul2	Minion Resource	Greater Item											3(5)				3					R	Unique. Palantir. If the bearer's company is ever below 2 characters and it moves, discard this item. With its bearer able to use a Palantir, tap Palantir of Amon Sul to look at your opponent's hand or tap it to use the abilities of either the minion
Palantir of Annuminas *	LidlessEye	PalantirofAnnuminas2	Minion Resource	Greater Item											3				3					R	Unique. Palantir. With its bearer able to use a Palantir, tap Palantir of Annuminas to take a sage only card from your play deck and/or discard pile into your hand. Reshuffle your play deck. Bearer then makes a corruption check.
Palantir of Elostirion *	LidlessEye	PalantirofElostirion2	Minion Resource	Special Item											3				3					R	Unique. Palantir. Playable at The White Towers. Discard if the bearer moves. If the bearer is a sage: your hand size increases by one and the bearer is able to use this Palantir this turn if he taps. With its bearer able to use a Palantir, tap Palant
Palantir of Minas Tirith *	LidlessEye	PalantirofMinasTirith2	Minion Resource	Special Item											3				3					U	Unique. Palantir. Playable at Minas Tirith. With its bearer able to use a Palantir, tap Palantir of Minas Tirith to look at the top five cards of your play deck; shuffle these 5 cards and return then to the top of your play deck. Do the same to your 
Palantir of Orthanc *	LidlessEye	PalantirofOrthanc2	Minion Resource	Special Item											3				3					U	Unique. Palantir. Playable at Isengard. With its bearer able to use a Palantir and with at least 5 cards in your play deck, tap Palantir of Orthanc to choose one card from your discard pile to move to your play deck (reshuffle the play deck). Bearer 
Palantir of Osgiliath *	LidlessEye	PalantirofOsgiliath2	Minion Resource	Greater Item											3(5)				3					R	Unique. Palantir. If the bearer's company is ever below 4 characters and it moves, discard this item. With its bearer able to use a Palantir, tap Palantir of Osgiliath to force the discard of any hazard permanent-event or to duplicate the effect of a
Paltry Ring	LidlessEye	PaltryRing	Minion Resource	Special Item											2				1					CB+CS1	Lesser Ring. Playable only with a Gold Ring and after a test indicates a Lesser Ring. +3 to prowess against detainment attacks. Cannot be duplicated on a given character.
Perfect Gold Ring	LidlessEye	PerfectGoldRing	Minion Resource	Gold Ring Item											2				4					R	May only be played at a Dragon's Lair where gold rings are playable. Bearer must make a corruption check at the end of each of his untap phases. Discard this ring when tested. If tested, obtain a random value to determine which ring card may be immed
Poison	LidlessEye	Poison	Minion Resource	Minor Item															2					R	Discard to give -1 to the prowess and -2 to the body of one strike against the bearer. Cannot be duplicated against a given strike.
Poisonous Despair	LidlessEye	PoisonousDespair	Minion Resource	Short-event													Spirit-magic							U	Magic. Spirit-magic. Playable on a spirit-magic-using character in response to an influence attempt against a character, ally, or item in his company. The attempt is canceled. If the character is a Ringwraith, he can also cancel an influence attempt 
Ready to His Will	LidlessEye	ReadytoHisWill	Minion Resource	Permanent-event											1									R	Playable on an Orc, Troll, Giant, Slayer, or Man hazard creature with one strike for each of its attacks. All attacks of the creature are canceled. The creature becomes an ally under the control of any character in the company that now taps. It has a
Red Book of Westmarch *	LidlessEye	RedBookofWestmarch2	Minion Resource	Special Item											2(5)				2					U	Unique. Playable at Bag End. May be stored at Barad-dur for 5 marshalling points.
Remnants of Old Robberies	LidlessEye	RemnantsofOldRobberies	Minion Resource	Permanent-event																				R	Playable on a non-Wolves, non-Animals, non-Nazgul hazard creature attack that a company has just defeated. Place this card with the attack's card. The company receives a number of miscellaneous marshalling points equal to the kill marshalling points 
Ren Unleashed	LidlessEye	RenUnleashed	Minion Resource	Short-event																				R	Playable on Ren the Ringwraith (as your Ringwraith). All characters at the same site as Ren must make a corruption check modified by -2.
Rumor of the One	LidlessEye	RumoroftheOne	Minion Resource	Permanent-event																				R	+1 to the corruption points and the marshalling points for all ring items. Discard when any play deck is exhausted. Cannot be duplicated.
Ruse	LidlessEye	Ruse	Minion Resource	Short-event																				R	Diplomat only. Scout only. Playable on a untapped diplomat in a covert company facing an attack. Tap the diplomat. The attack is canceled. Alternatively, playable on a scout facing an attack. No strikes of the attack may be assigned to the scout.
Sable Shield	LidlessEye	SableShield	Minion Resource	Major Item											2				2					U	Unique. Shield. If a strike against the bearer is successful, he is not wounded. Instead, the attacker makes a roll (draws a #)-if this result is greater than 6, discard Sable Shield.
Saw-toothed Blade	LidlessEye	SawtoothedBlade	Minion Resource	Minor Item															1					CB+CS1	Weapon. +1 to prowess to a maximum of 8.
Scatha Roused	LidlessEye	ScathaRoused	Minion Resource	Dragon Faction											5									R	Unique. Manifestation of Scatha. Playable at Gondmaeglom if the influence check is greater than 13. Modifications: influencer discards a major item (+3) or a greater item (+6). All attacks by manifestations of Scatha against any of your companies are
Scorba Roused	LidlessEye	ScorbaRoused	Minion Resource	Dragon Faction											3									R	Unique. Manifestation of Scorba. Playable at Zarak Dum if the influence check is greater than 11. Modifications: influencer discards a major item (+3) or a greater item (+6). All attacks by manifestations of Scorba against any of your companies are c
Scroll of Isildur *	LidlessEye	ScrollofIsildur2	Minion Resource	Greater Item											3(5)				4					U	Unique. When a Gold Ring is tested in a company bearing the Scroll of Isildur, the random value obtained is modified by +1. May be stored at Barad-dur for 5 marshalling points.
Secrets of Their Forging	LidlessEye	SecretsofTheirForging	Minion Resource	Short-event																				U	Sage only. Playable on a sage during the site phase at a site where Information is playable if a character in his company has a gold ring item. Tap the sage and the site. You may replace the gold ring with a special item ring from your hand (except f
Seize Prisoners	LidlessEye	SeizePrisoners	Minion Resource	Permanent-event											-2									CB+CS1	Playable during the site phase at an already tapped Free-hold [{F}]. The company faces an attack (attack type as first automatic-attack at site-3 strikes with 8 prowess). If no characters are untapped after the attack, discard Seize Prisoners. Otherw
Shadow-cloak	LidlessEye	Shadowcloak	Minion Resource	Minor Item															1					U	Tap Shadow-cloak to cancel one hazard creature strike against bearer keyed by type to a Shadow-land [{s}], Shadow-hold [{S}], Dark-domain [{d}], or Dark-hold [{D}]. Cannot be duplicated on a given character.
Skies of Fire	LidlessEye	SkiesofFire	Minion Resource	Permanent-event																				CB	Environment. When Skies of Fire is played, Gates of Morning and all hazard environment cards in play are immediately discarded, and all hazard environment effects are canceled. This card is not discarded by Doors of Night, but is discarded by Gates of Morning. Cannot be duplicated. May not be played by a lord player.
Smart and Secret	LidlessEye	SmartandSecret	Minion Resource	Permanent-event																				CB+CS1	Command. Playable on a leader during the organization phase. Return all other command cards on target leader to your hand when this card is played. -2 to Leader's direct influence (to a minimum of 0) and +1 body to all characters in his company. You 
Smaug Roused	LidlessEye	SmaugRoused	Minion Resource	Dragon Faction											5									R	Unique. Manifestation of Smaug. Playable at The Lonely Mountain if the influence check is greater than 12. Modifications: influencer discards a major item (+3) or a greater item (+6). All attacks by manifestations of Smaug against any of your compani
Smoke on the Wind	LidlessEye	SmokeontheWind	Minion Resource	Permanent-event											3									R	Playable at an already tapped Free-hold [{F}] during the site phase. The company faces two attacks (Men - 5 strikes with 8 prowess, 1 strike with 10 prowess). If no characters are untapped following the attack, discard this card. Otherwise, you may t
Snaga-hai	LidlessEye	Snagahai	Minion Resource	Orc Faction											1									CB+CS1	Playable at any tapped or untapped Shadow-hold [{S}] if the influence check is greater than 9. Once in play, the number required to influence this faction is zero.
Sneakin'	LidlessEye	Sneakin	Minion Resource	Short-event																				R	Scout only. Playable during the organization phase on an untapped scout in a company with a company size less than 3. Tap the scout. No creature hazards may be played on his company this turn. {cyan} UEP: Scout only. Playable at the end of the organi
Some Secret Art of Flame	LidlessEye	SomeSecretArtofFlame	Minion Resource	Short-event													Sorcery							R	Magic. Sorcery. Playable on a sorcery-using character facing an attack. +4 prowess for the character against the attack. Unless he is a Ringwraith, character makes a corruption check modified by -4. Cannot be duplicated against a given attack.
Southrons *	LidlessEye	Southrons2	Minion Resource	Man Faction											2									F1	Unique. Manifestation of hero Southrons. Playable at Southron Oasis if the influence check is greater than 8. Standard Modifications: Haradrim (+2), Asdriags (-2).
Spying out the Land	LidlessEye	SpyingouttheLand	Minion Resource	Short-event													Spirit-magic							R	Magic. Spirit-magic. Playable on a spirit-magic-using character during the organization phase. Opponent may reveal to you any hazards from his hand, and only those hazards can be played during the character company's movement/hazard phase. Unless he 
Stabbed Him in His Sleep	LidlessEye	StabbedHiminHisSleep	Minion Resource	Permanent-event											1									CB+CS1	Playable during the site phase on an untapped scout in a covert company at an already tapped Border-hold [{B}] or Free-hold [{F}]. The scout faces an attack (attack type as first  automatic-attack at site - 1 strike with 8 prowess). If the scout is n
Stinker	LidlessEye	Stinker	Minion Resource	Ally		Scout		4			2	9			2									U	Unique. Playable at Goblin-gate or Moria. Manifestation of Gollum and My Precious. If his company's size is less than three, tap Stinker to cancel one attack against his company keyed to Wilderness [{w}] or Shadow-land [{s}]. You may tap Stinker if h
Stone Trolls	LidlessEye	StoneTrolls	Minion Resource	Troll Faction											2									U	Unique. Playable at Ettenmoors if the influence check is greater than 10. Once in play, the number required to influence this faction is zero. If this influence attempt is made by an Orc or Troll leader, you may place this faction under the control o
Strange Rations	LidlessEye	StrangeRations	Minion Resource	Minor Item															1					CB+CS1	Food. Discard to untap bearer. Alternatively, discard during organization phase to allow its bearer's company to play an additional region card.
Sudden Call	LidlessEye	SuddenCall	Minion Resource	Short-event																				CB+F5	You may play this card as a resource or a hazard according to The Audience of Sauron Rules. This card may not be played as a hazard against a Wizard player, and may be included as a hazard in a Wizard's deck. You may reshuffle this card into you play
Swag	LidlessEye	Swag	Minion Resource	Short-event																				U	Playable on a company at a tapped Ruins & Lairs [{R}], Border-hold [{B}], or Free-hold [{F}]. During the site phase, one or two characters in that company may each tap to take control of a non-unique, non-hoard minor item of the following type: weapo
Swarm of Bats	LidlessEye	SwarmofBats	Minion Resource	Permanent-event																				CB+CS1	Playable at a Darkhaven, Shadow-hold [{S}], or Dark-hold [{D}] during the organization phase on an overt company that has more than one Orc. Any attack against this company has its prowess and body modified by -1. Discard this card if a character lea
Swift Strokes	LidlessEye	SwiftStrokes	Minion Resource	Short-event																				U	Warrior only. Warrior receives +1 prowess against one strike and obtains two random values against it, choosing the one to use.
Test of Fire	LidlessEye	TestofFire	Minion Resource	Short-event																				CB+CS1	Sage only. Play to test a gold ring in a sage's company.
That Ain't No Secret	LidlessEye	ThatAintNoSecret	Minion Resource	Permanent-event											-1									CB+CS1	Stolen Knowledge. Playable during the site phase on an untapped character at a site where Information is playable. Tap the character (but not the site). No marshalling points are received until this card is stored at a Darkhaven during the Character's organization pha
That's Been Heard Before Tonight	LidlessEye	ThatsBeenHeardBeforeTonight	Minion Resource	Permanent-event											-2									CB+CS1	Stolen Knowledge. Playable during the site phase on an untapped character in a covert company at a Border-hold [{B}] or Free-hold [{F}] where Information is playable. Tap the character (but not the site). No marshalling points are received and the character may not un
The Iron Crown*	LidlessEye	TheIronCrown2	Minion Resource	Greater Item											3(5)				5					R	Unique. +1 to body to a maximum of 10. +4 to direct influence. Bearer may tap The Iron Crown to cancel an attack by Orcs, Trolls, or Men against his company. At the end of his untap phase, if the bearer is not a Ringwraith, he must make a corruption  May not be played by a lord player.
The Least of Gold Rings	LidlessEye	TheLeastofGoldRings	Minion Resource	Gold Ring Item											2				4					CB+F5	Bearer must make a corruption check at the end of each of his untap phases. Discard this ring when tested. If tested, obtain a random value to determine which ring card may be immediately played: The One Ring (12+); a Dwarven Ring (10,11,12+); a Magi
The Lidless Eye	LidlessEye	TheLidlessEye	Minion Resource	Permanent-event																				R	Playable if your opponent is a Wizard and you have not revealed a Ringwraith. You are Sauron, not a Ringwraith. You may not reveal a Ringwraith or play Ringwraith followers. +7 to your general influence. You may keep one more card than normal in your
The Mithril-coat *	LidlessEye	TheMithrilcoat2	Minion Resource	Greater Item											3				2					R	Unique. Treasure. Armor. +3 to body (to a maximum of 10).
The Names Among Them	LidlessEye	TheNamesAmongThem	Minion Resource	Permanent-event											-1									CB+CS1	Stolen Knowledge. Playable on an untapped scout immediately after facing an automatic-attack at a Border-hold [{B}] or Free-hold [{F}]. Tap the scout. No marshalling points are received until this card is stored at a Darkhaven during his organization phase. Once store
The One Ring *	LidlessEye	TheOneRing2	Minion Resource	Special Item											6				6					R	Unique. The One Ring. Playable only with a Gold Ring and after a test indicates The One Ring. +5 prowess (to a maximum of double the bearer's normal prowess). +5 to body (to a maximum of 10). +5 to direct influence. Bearer may make a corruption check
The Oracle's Ring	LidlessEye	TheOraclesRing	Minion Resource	Special Item											3				2					R	Spirit Ring. Playable only with a Gold Ring and after a test indicates a Spirit Ring. -2 to bearer's mind (minimum of 1). +4 to bearer's direct influence. Cannot be duplicated on a given character.
The Reviled Ring	LidlessEye	TheReviledRing	Minion Resource	Special Item											3				2					R	Spirit Ring. Weapon. Playable only with a Gold Ring and after a test indicates a Spirit Ring. -2 to bearer's mind (minimum of 1). +3 to bearer's prowess. Cannot be duplicated on a given character.
The Ring Leaves Its Mark	LidlessEye	TheRingLeavesItsMark	Minion Resource	Short-event																				CB	Bring one Black Rider, Fell Rider, or Heralded Lord card from your sideboard or discard pile into your play deck and reshuffle. Alternatively, playable on your tapped Ringwraith. Make a roll (draw a #) - if the result is greater than 6, untap your Ri
The Warding Ring	LidlessEye	TheWardingRing	Minion Resource	Special Item											3				2					R	Spirit Ring. Armor. Playable only with a Gold Ring and after a test indicates a Spirit Ring. -2 to bearer's mind (minimum of 1). +2 to bearer's body (to a maximum of 10). Cannot be duplicated on a given character.
The Warg-king	LidlessEye	TheWargking	Minion Resource	Ally				3			4	8			2									R	Unique. Wolf. Playable at any tapped or untapped Ruins & Lairs [{R}] with a Wolf automatic-attack. Tap to cancel a Wolf or Animal attack. +2 to any influence attempt by a character in his company against a Wolf faction.
The Water's Tithe	LidlessEye	TheWatersTithe	Minion Resource	Short-event													Sorcery							U	Magic. Sorcery. Playable on a non-Ringwraith sorcery-using character during the organization phase. If using region movement, the Character's company may play up to two additional region cards. Character makes a corruption check modified by -3.
The Witch-king Unleashed	LidlessEye	TheWitchkingUnleashed	Minion Resource	Short-event																				R	Playable on The Witch-king (as your Ringwraith). +5 to his direct influence this turn. Cannot be duplicated on a given turn.
They Ride Together	LidlessEye	TheyRideTogether	Minion Resource	Short-event																				R	Playable only at a Darkhaven during the organization phase on your Ringwraith's company. You may bring any Ringwraith followers into play with your Ringwraith's company as you have in your hand and have direct influence to control. {cyan} UEP: When a
Thing Stolen	LidlessEye	ThingStolen	Minion Resource	Short-event																				U	Playable after a faction is successfully played at a Shadow-hold [{S}] or Dark-hold [{D}]. Tap a character at the site to play a non-unique, non-hoard minor or major item (even if the item is not normally playable there).
Threats	LidlessEye	Threats	Minion Resource	Short-event																				R	Warrior only. Playable on a warrior attempting to influence a faction. Warrior does not use his unused direct influence for the attempt. Instead he uses his prowess, to a maximum modifier of +6.
Tidings of Death	LidlessEye	TidingsofDeath	Minion Resource	Long-event																				R	-1 to each influence check against a faction, but for each influence check make an additional roll (or draw an additional #) and choose which result to use. May also be played as a hero resource.
To Satisfy the Questioner	LidlessEye	ToSatisfytheQuestioner	Minion Resource	Permanent-event											-3									CB+CS1	Playable during the site phase on an untapped character at a Free-hold [{F}]. Tap the character and site. No marshalling points are received and the character may not untap  until this card is stored at a Darkhaven during his organization phase.
Trifling Ring	LidlessEye	TriflingRing	Minion Resource	Special Item											2				1					CB+CS1	Lesser Ring. Playable only with a Gold Ring and after a test indicates a Lesser Ring. +3 to direct influence against characters. Cannot be duplicated on a given character.
Two-headed Troll	LidlessEye	TwoheadedTroll	Minion Resource	Ally		Warrior		2			5	8			1									R	Playable at any tapped or untapped Ruins & Lairs [{R}] with a Troll automatic-attack. Tap to cancel an Orc or Troll attack. Cannot be duplicated in a given company.
Umbarean Corsairs	LidlessEye	UmbareanCorsairs	Minion Resource	Man Faction											2									U	Unique. Playable at Gobel Mirlond if the influence check is greater than 8. Standard Modifications: Black Numenoreans (+2), Southrons (+2).
Under His Blow	LidlessEye	UnderHisBlow	Minion Resource	Short-event																				CB+CS1	Untapped character does not tap against one strike.
Ungol-orcs	LidlessEye	Ungolorcs	Minion Resource	Orc Faction											1									U	Unique. Playable at Cirith Ungol if the influence check is greater than 8. Once in play, the number required to influence this faction is zero. If this influence attempt is made by an Orc or Troll leader, you may place this faction under the control 
Uruk-hai	LidlessEye	Urukhai	Minion Resource	Orc Faction											2									R	Unique. Playable at Barad-dur, Cirith Gorgor, or Cirith Ungol if the influence check is greater than 11. Once in play, the number required to influence this faction is zero. If this influence attempt is made by an Orc or Troll leader, you may place t
Uvatha Unleashed	LidlessEye	UvathaUnleashed	Minion Resource	Short-event																				R	Playable on Uvatha the Ringwraith's own company (if Uvatha is your Ringwraith) at the end of his movement/hazard phase. His company may move to an additional site this turn. A site card may be played and another movement/hazard phase immediately foll
Variags of Khand *	LidlessEye	VariagsofKhand2	Minion Resource	Man Faction											2									F1	Unique. Manifestation of hero Variags of Khand. Playable at Variag Camp if the influence check is greater than 8. Standard Modifications: Nurniags (+2), Haradrim (-2).
Veils of Shadow	LidlessEye	VeilsofShadow	Minion Resource	Short-event													Sorcery							R	Magic. Sorcery. Playable on a sorcery-using character facing an automatic-attack. The number of strikes of all automatic-attacks at the site this turn are reduced to one. Unless he is a Ringwraith, character makes a corruption check modified by -4.
Voices of Malice	LidlessEye	VoicesofMalice	Minion Resource	Short-event																				CB	Sage only. Tap a sage to discard one non-environment hazard permanent-event or non-environment hazard long-event. Sage makes a corruption check modified by -2.
War-warg	LidlessEye	Warwarg	Minion Resource	Ally				1			3	6			1									CB+CS1	Wolf. Playable at any tapped or untapped Ruins & Lairs [{R}] with a Wolf automatic-attack. If the War-warg and its controlling character are both targets of strikes from the same attack, you may tap War-warg to give +2 body to its controlling character.
War-wolf	LidlessEye	Warwolf	Minion Resource	Ally				1			2	7			1									CB+CS1	Wolf. Playable at any tapped or untapped Ruins & Lairs [{R}] with a Wolf automatic-attack or at any tapped or untapped Shadow-hold [{S}] with an Orc automatic-attack.
Wargs of the Forochel	LidlessEye	WargsoftheForochel	Minion Resource	Wolf Faction											3									R	Unique. Playable at Lossadan Cairn if the influence check is greater than 10. Once in play, the number required to influence this faction is zero. Standard Modifications: Ice-orcs (+2), Misty Mountain Wargs (+2).
We Have Come to Kill	LidlessEye	WeHaveCometoKill	Minion Resource	Short-event																				R	A character may be brought into play under general or direct influence at any Shadow-hold [{S}], Ruins & Lairs [{R}], or Border-hold [{B}]. This does not count against the one character per turn limit.
Weigh All Things to a Nicety	LidlessEye	WeighAllThingstoaNicety	Minion Resource	Short-event																				CB	Bring one resource or character (including a Ringwraith) from your sideboard or discard pile into your play deck and shuffle.
Where There's a Whip	LidlessEye	WhereTheresaWhip	Minion Resource	Short-event																				R	Playable on an untapped Orc or Troll character bearing a Whip. Each tapped character in the bearer's company with a mind and prowess less than the bearer's makes a body check modified by -2. Failing the body check wounds, but does not eliminate the c
While the Yellow Face Sleeps	LidlessEye	WhiletheYellowFaceSleeps	Minion Resource	Permanent-event																				R	Playable during the organization phase on your Ringwraith at a Darkhaven. You may keep one more card than normal in your hand. Discard this card if your Ringwraith moves. Cannot be duplicated by a given player.
Whip	LidlessEye	Whip	Minion Resource	Minor Item															1					U	Orc or Troll only: provides +2 direct influence against one character with a mind and prowess less than the bearer's. Cannot be duplicated on a given character.
White Mountain Wolves	LidlessEye	WhiteMountainWolves	Minion Resource	Wolf Faction											3									R	Unique. Playable at Stone-circle if the influence check is greater than 10. Once in play, the number required to influence this faction is zero. Standard Modifications: Dunlendings (+2).
Wisdom to Wield	LidlessEye	WisdomtoWield	Minion Resource	Short-event																				U	Sage only. Playable on a non-Ringwraith sage bearing a Dwarven Ring and/or a Palantir. This turn, the sage: bears the Dwarven Ring as though he were a Dwarf or is able to use the Palantir.
Woodmen *	LidlessEye	Woodmen2	Minion Resource	Man Faction											3									F1	Unique. Manifestation of hero Woodmen. Playable at Woodmen Town if the influence check is greater than 10.
Words of Menace and Deceit	LidlessEye	WordsofMenaceandDeceit	Minion Resource	Short-event													Spirit-magic							R	Magic. Spirit-magic. Playable on a spirit-magic-using character. +5 to the character's direct influence for the rest of the turn. Unless he is a Ringwraith, he makes a  corruption check modified by -4. Cannot be duplicated on a given character.
Woses of the Eryn Vorn *	LidlessEye	WosesoftheErynVorn2	Minion Resource	Wose Faction											3									R	Unique. Playable at The Worthy Hills if the influence check is greater than 11.
Amon Hen (M)	LidlessEye	AmonHen2	Minion Site	{R}																Rohan	{s}{w}{f}{s}	2	2	U	Nearest Darkhaven: Minas Morgul. Playable: Information, Items (minor). Automatic-attacks: Undead - 1 strike with 6 prowess; each character wounded must make a corruption check modified by -2. Special: Port-on-Anduin
Bag End (M)	LidlessEye	BagEnd2	Minion Site	{F}																The Shire	{s}{w}{f}	1	3	U	Nearest Darkhaven: Carn Dum. Playable: Information, Items (minor, major, greater*, gold ring) *-hero item only. Automatic-attacks: (1st) Hobbits - 5 strikes with 5 prowess; (2nd) Dunedain - 3 strikes with 11 prowess.
Bandit Lair (M)	LidlessEye	BanditLair2	Minion Site	{R}																Brown Lands	{d}{s}	1	1	U	Nearest Darkhaven: Dol Guldur. Playable: Items (minor, gold ring). Automatic-attacks: Men - 3 strikes with 6 prowess.
Barad-dur (M)	LidlessEye	Baraddur2	Minion Site	{D}																Gorgoroth	{s}{d}	2	1	F5	Nearest Darkhaven: Minas Morgul. Special: Treat this site as a Darkhaven during the Untap Phase. Any gold ring item at this site is automatically tested during the site phase (the site need not be entered). All ring tests at this site are modified by -3. 
Barrow-downs (M)	LidlessEye	Barrowdowns2	Minion Site	{R}																Cardolan	{s}{w}{w}	2	2	F1	Nearest Darkhaven: Carn Dum. Playable: Items (minor, major). Automatic-attacks: Undead - 1 strike with 8 prowess; each character wounded must make a corruption check modified by -2.
Beorn's House (M)	LidlessEye	BeornsHouse2	Minion Site	{F}																Anduin Vales	{d}{s}	1	1	U	Nearest Darkhaven: Dol Guldur. Playable: Items (gold ring). Automatic-attacks: Men - each character faces 1 strike with 10 prowess (detainment against covert company).
Blue Mountain Dwarf-hold (M)	LidlessEye	BlueMountainDwarfhold2	Minion Site	{F}																Numeriador	{s}{w}{w}	2	2	R	Nearest Darkhaven: Carn Dum. Playable: Items (minor, major, greater, gold ring). Automatic-attacks: Dwarves - 4 strikes with 10 prowess.
Bree (M)	LidlessEye	Bree2	Minion Site	{B}																Arthedain	{s}{w}	1	1	U	Nearest Darkhaven: Carn Dum. Playable: Information, Items (minor, gold ring). Automatic-attacks: Dunedain - each character faces 1 strike with 7 prowess (detainment against covert company). Special: Agent minions may be brought into play under direct infl
Buhr Widu (M)	LidlessEye	BuhrWidu2	Minion Site	{R}																Southern Rhovanion	{d}{w}	1	1	F1	Nearest Darkhaven: Dol Guldur. Playable: Items (minor, major). Automatic-attacks: Troll - 1 strike with 10 prowess.
Cameth Brin (M)	LidlessEye	CamethBrin2	Minion Site	{B}																Rhudaur	{s}{w}	1	1	U	Nearest Darkhaven: Carn Dum. Playable: Items (minor, major*) *-weapon, armor, shield, or helmet only. Automatic-attacks: Men - each character faces 1 strike with 7 prowess (detainment against covert company).
Carn Dum (M)	LidlessEye	CarnDum2	Minion Site	{H}																Angmar		2	2	CB+F5	Site Path From Dol Guldur: {d}{s}{d}{s}. Site Path From Geann a-Lisch: {w}{w}{w}{w}{s}. Special: Unless this site is a character's home site, a non-Orc, non-Troll character may not be brought into play at this site. Special: Any Gold Ring stored at this site is automatically tested (modify the roll by -2). Any attack against a minion company at this site is canceled. Ancient Dwarf-ruin. 
